sequence_id,domain,method,window,mean_KL,sum_KL,mean_NLL,delta_NLL_native,max_KL,p95_KL,p99_KL,n_KL,n_NLL,nonfinite
rtpa_v02_code_confirm0,code,B_DAMP8_P_STORE,late,0.0011806372971368533,0.6044862961340689,0.993202951370903,0.0030542085724835077,0.01565403446987499,0.004675581290903632,0.008229347820542824,512,511,0
rtpa_v02_code_confirm0,code,B_DIAG8_P_STORE,primary,0.0012943986703124863,1.304753859674986,1.1468286626238247,0.0011552476125387123,0.08564515002332737,0.004187577217379035,0.010102419201929105,1008,1007,0
rtpa_v02_code_confirm0,code,B_DIAG8_P_STORE,early,0.0013022925711448725,0.6459371152878568,1.305598895378493,-0.00030255894887121215,0.06849814198882036,0.003903023500615395,0.008639402871197082,496,496,0
rtpa_v02_code_confirm0,code,B_DIAG8_P_STORE,late,0.0012867514538811118,0.6588167443871292,0.9927190042161624,0.0025702614177429695,0.08564515002332737,0.004229519692131611,0.01039357937150094,512,511,0
rtpa_v02_code_confirm0,code,B_JOINT8_P_STORE,primary,0.0012132415876050262,1.2229475203058662,1.1465132482249936,0.0008398332137076192,0.14006527409013567,0.003621230375544729,0.010567244418069532,1008,1007,0
rtpa_v02_code_confirm0,code,B_JOINT8_P_STORE,early,0.0011162648116546032,0.5536673465806832,1.3036113341393376,-0.0022901201880265454,0.029975075918115004,0.0033694867575101927,0.010295482449094088,496,496,0
rtpa_v02_code_confirm0,code,B_JOINT8_P_STORE,late,0.001307187839306998,0.669280173725183,0.9940266521124405,0.0038779093140209886,0.14006527409013567,0.003950620914410496,0.010417696676504353,512,511,0
rtpa_v02_code_confirm0,code,B_U8_P_PRE,primary,0.0017590279540207216,1.7731001776528874,1.1472493937903339,0.0015759787790479152,0.03965747307165572,0.006190599704584642,0.015138892188231223,1008,1007,0
rtpa_v02_code_confirm0,code,B_U8_P_PRE,early,0.0018345250745400157,0.9099244369718478,1.3046627075182895,-0.0012387468090746534,0.03965747307165572,0.00570344855712856,0.016187860058721863,496,496,0
rtpa_v02_code_confirm0,code,B_U8_P_PRE,late,0.0016858901185176558,0.8631757406810397,0.9944568231267997,0.004308080328380259,0.03226134312453409,0.0064518251302195,0.012661870036190431,512,511,0
rtpa_v02_code_confirm0,code,B_DAMP8_P_PRE,primary,0.001207309738269466,1.2169682161756217,1.144996860792874,-0.0006765542184119511,0.06382804409496033,0.004152005285470629,0.008337756213293157,1008,1007,0
rtpa_v02_code_confirm0,code,B_DAMP8_P_PRE,early,0.0012449042702594555,0.6174725180486899,1.3045113581706116,-0.0013900961567525627,0.06382804409496033,0.0037628948525509237,0.00898727101352475,496,496,0
rtpa_v02_code_confirm0,code,B_DAMP8_P_PRE,late,0.0011708900354041637,0.5994956981269318,0.9901647850602755,1.604226185603075e-05,0.01574675303456424,0.004651240566048034,0.007317563237514925,512,511,0
rtpa_v02_code_confirm0,code,B_DIAG8_P_PRE,primary,0.0013398059884352856,1.350524436342768,1.1471629823391232,0.0014895673278372268,0.11899423617203637,0.004082330420595819,0.00956388205457508,1008,1007,0
rtpa_v02_code_confirm0,code,B_DIAG8_P_PRE,early,0.001220397672257031,0.6053172454394874,1.3048062807738943,-0.0010951735534698859,0.06408663107450914,0.0035473665611707728,0.006657055419314332,496,496,0
rtpa_v02_code_confirm0,code,B_DIAG8_P_PRE,late,0.0014554827947329697,0.7452071909032805,0.9941471779875644,0.003998435189144889,0.11899423617203637,0.004999495572439137,0.010803708689401679,512,511,0
